64	9.58	2.909		12680741	55534	400859
65	5.31	1.758		9806626	35549	366387
66	11.10	3.063		14941356	62420	432149
67	0.45	0.401		967085	1884	35893
68	158.86	53.081		55328418	289271	914593
69	102.22	33.309		47622023	234391	847536
70	8.52	2.487		11810643	54066	377330
71	102.22	25.202		37901439	206064	726516
72	51.08	15.483		30040474	162941	640280
73	13.06	3.589		13925840	66569	412257
74	7.60	2.426		11849718	52433	378663
75	9.90	2.998		12049283	56270	397464
76	0.62	0.409		1071647	2294	37645
77	140.80	52.532		59400023	303788	960005
78	30.53	8.741		22808004	122427	546719
79	11.35	3.071		15062686	61790	434756
80	60.66	19.595		28347831	163898	606797
81	28.41	8.173		22590225	123365	530238
82	10.24	2.919		13301987	58207	417256
83	7.41	1.720		11232341	41329	360960
84	7.97	2.328		11581225	53939	375269
85	0.46	0.386		1111003	2008	39303
86	8.24	2.334		12308797	46090	405481
87	4.00	1.212		9781783	22848	344722
88	5.27	1.686		9757760	37999	369239
89	0.63	0.576		1097448	2071	39016
90	8.41	2.284		11386096	47115	375527
91	5.46	1.534		9398789	36058	343946
92	9.72	3.019		10922346	52098	366984
93	0.81	0.431		1470805	2484	44991
94	0.80	0.540		1045633	2236	37352
95	0.83	0.358		1025977	1281	37317
96	0.70	0.427		1139643	2768	39466
97	0.71	0.367		973096	1596	37042
98	126.30	54.648		53621665	290914	924179
99	190.67	70.728		73794432	381326	1195431
100	6.65	2.173		10567210	38083	359875
101	76.85	25.782		40052293	217721	744076
102	7.60	2.145		11112573	45336	381967
103	0.59	0.363		914090	1042	35093
104	53.87	16.473		27325628	159345	602081
105	36.98	9.625		23227535	133123	550624
106	3.82	1.202		9099937	22032	335493
107	65.83	19.688		30500290	170421	652184
108	20.75	6.183		21237323	107158	515724
109	6.10	1.674		9615877	34535	353901
110	8.04	2.237		12516784	47084	407906
111	9.62	3.124		13124976	58433	415533
112	0.78	0.383		1095680	1330	38145
113	7.70	2.750		11653202	45036	386591
114	8.46	2.394		12549527	49254	416160
115	5.56	1.826		10741947	36595	406922
116	0.59	0.504		1085686	2229	36672
117	12.93	3.889		13410949	63829	409305
118	8.33	2.266		10862739	50075	361701
119	10.48	2.733		12419170	55653	396054
120	0.75	0.398		1000673	2168	37936
121	0.61	0.397		1028340	2256	36715
122	0.87	0.484		1597969	4154	49829
123	0.82	0.371		1067023	1318	38032
124	0.73	0.440		1174270	3405	40638
125	74.30	25.047		37659602	211062	724248
